Beras,Cabai Merah,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Bawang Merah,Bawang Putih,Tanggal Lengkap
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30000.0,29250.0,2021-10-26
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30000.0,29250.0,2021-10-27
11750.0,37500.0,35000.0,32500.0,33750.0,31250.0,27500.0,29250.0,2021-10-28
11750.0,37500.0,35000.0,32500.0,33750.0,31250.0,27500.0,29250.0,2021-10-29
11750.0,41250.0,42500.0,31250.0,31250.0,31250.0,27500.0,29250.0,2021-11-01
11750.0,41250.0,42500.0,31250.0,31250.0,31250.0,27500.0,29250.0,2021-11-02
11750.0,41250.0,42500.0,31250.0,31250.0,31250.0,27500.0,29250.0,2021-11-03
11750.0,42500.0,42500.0,31250.0,31250.0,31250.0,27500.0,29250.0,2021-11-04
11750.0,42500.0,42500.0,31250.0,31250.0,31250.0,27500.0,29250.0,2021-11-05
11750.0,42500.0,42500.0,31250.0,31250.0,31250.0,27500.0,29250.0,2021-11-08
11750.0,48750.0,50000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-09
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-10
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-11
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-12
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-15
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-16
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-17
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-18
11750.0,53750.0,55000.0,32500.0,32500.0,32500.0,28250.0,29250.0,2021-11-19
11750.0,53750.0,55000.0,35000.0,35000.0,35000.0,28250.0,29250.0,2021-11-22
11750.0,53750.0,55000.0,35000.0,35000.0,35000.0,28250.0,29250.0,2021-11-23
11750.0,53750.0,55000.0,35000.0,35000.0,35000.0,28250.0,29250.0,2021-11-24
11750.0,53750.0,55000.0,35000.0,35000.0,35000.0,28250.0,29250.0,2021-11-25
11750.0,53750.0,55000.0,35000.0,35000.0,35000.0,28250.0,29250.0,2021-11-26
11750.0,53750.0,55000.0,35000.0,35000.0,35000.0,28250.0,29250.0,2021-11-29
11750.0,53750.0,55000.0,36250.0,35000.0,37500.0,28250.0,29250.0,2021-11-30
11750.0,53750.0,55000.0,36250.0,35000.0,37500.0,28250.0,29250.0,2021-12-01
11750.0,52500.0,52500.0,41900.0,37500.0,46250.0,27500.0,29250.0,2021-12-02
11750.0,52500.0,52500.0,43150.0,37500.0,48750.0,27500.0,29250.0,2021-12-03
11750.0,52500.0,52500.0,56250.0,40000.0,72500.0,27500.0,29250.0,2021-12-06
11750.0,52500.0,52500.0,57500.0,42500.0,72500.0,27500.0,29250.0,2021-12-07
11750.0,52500.0,52500.0,57500.0,42500.0,72500.0,27500.0,29250.0,2021-12-08
11750.0,52500.0,52500.0,58750.0,45000.0,72500.0,27500.0,29250.0,2021-12-09
11750.0,52500.0,52500.0,58750.0,45000.0,72500.0,28250.0,29250.0,2021-12-10
11750.0,52500.0,52500.0,67500.0,52500.0,82500.0,28750.0,29250.0,2021-12-13
11750.0,53750.0,52500.0,67500.0,52500.0,82500.0,28750.0,29250.0,2021-12-14
11750.0,53750.0,52500.0,73150.0,58750.0,87500.0,28750.0,29250.0,2021-12-15
11750.0,53750.0,52500.0,73150.0,58750.0,87500.0,28750.0,29250.0,2021-12-16
11750.0,53750.0,52500.0,78150.0,63750.0,92500.0,28750.0,29250.0,2021-12-17
11750.0,53750.0,52500.0,79400.0,63750.0,95000.0,28750.0,29250.0,2021-12-20
11850.0,51250.0,47500.0,81900.0,63750.0,100000.0,28750.0,29250.0,2021-12-21
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-22
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-23
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-24
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-27
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-28
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-29
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-30
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2021-12-31
11850.0,51250.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2022-01-03
11850.0,50650.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2022-01-04
11950.0,50650.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2022-01-05
11950.0,50650.0,47500.0,83150.0,66250.0,100000.0,28750.0,29250.0,2022-01-06
12050.0,50650.0,47500.0,75650.0,61250.0,90000.0,28750.0,29250.0,2022-01-07
12050.0,41900.0,35000.0,66250.0,60000.0,72500.0,28750.0,29250.0,2022-01-10
12050.0,40650.0,35000.0,62500.0,57500.0,67500.0,28750.0,29250.0,2022-01-11
12050.0,38150.0,32500.0,62500.0,57500.0,67500.0,28750.0,29250.0,2022-01-12
12050.0,38150.0,32500.0,62500.0,57500.0,67500.0,28750.0,29250.0,2022-01-13
12050.0,38150.0,32500.0,62500.0,57500.0,67500.0,28750.0,29250.0,2022-01-14
12050.0,38150.0,32500.0,62500.0,57500.0,67500.0,28750.0,29250.0,2022-01-17
12050.0,38150.0,32500.0,62500.0,57500.0,67500.0,28750.0,29250.0,2022-01-18
12050.0,37500.0,32500.0,58750.0,57500.0,60000.0,28750.0,29250.0,2022-01-19
12150.0,37500.0,32500.0,58750.0,57500.0,60000.0,28750.0,29250.0,2022-01-20
12150.0,37500.0,32500.0,58750.0,57500.0,60000.0,28750.0,29250.0,2022-01-21
12150.0,35000.0,32500.0,53750.0,55000.0,52500.0,28750.0,29250.0,2022-01-24
12150.0,35650.0,33750.0,50000.0,50000.0,50000.0,28750.0,29250.0,2022-01-25
12150.0,35650.0,33750.0,48750.0,47500.0,50000.0,28750.0,29250.0,2022-01-26
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,28750.0,29250.0,2022-01-27
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,28750.0,29250.0,2022-01-28
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,28750.0,29250.0,2022-01-31
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,28750.0,29250.0,2022-02-01
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,32500.0,29250.0,2022-02-02
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,32500.0,29250.0,2022-02-03
12150.0,35650.0,33750.0,47500.0,47500.0,47500.0,31750.0,29250.0,2022-02-04
12150.0,36900.0,33750.0,47500.0,47500.0,47500.0,31750.0,29250.0,2022-02-07
12150.0,36900.0,33750.0,47500.0,47500.0,47500.0,31750.0,29250.0,2022-02-08
12150.0,36900.0,33750.0,47500.0,47500.0,47500.0,31750.0,29250.0,2022-02-09
